Date,Rating
Sunday 15th May,4
Sunday 8th May,6
Monday 2nd May,7
Saturday 2nd April,5
Sunday 28th February,7
Sunday 14th February,7
Tuesday 2nd February,6
Saturday 23rd January,6
Sunday 29th November,6
Sunday 22nd November,7
Saturday 26th September,6
Sunday 20th September,8
Sunday 13th September,6
