Name,Position,id,link,"Saves   
     ","Penalties saved   
     ","Punches   
     ","High Claims   
     ","Catches   
     ","Sweeper clearances   
     ","Throw outs   
     ","Goal Kicks   
     ","Clean sheets   
     ","Goals conceded   
     ","Errors leading to goal   
     ","Own goals   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Goals   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Accurate long balls   
     "
Hugo-Lloris,Goalkeeper,4664,https://www.premierleague.com/players/4664/Hugo-Lloris/stats?co=1&se=79,86,0,20,17,9,37,169,227,15,35,5,0,1,0,1,0,0,996,27.67,217
Michel-Vorm,Goalkeeper,4398,https://www.premierleague.com/players/4398/Michel-Vorm/stats?co=1&se=79,4,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,24,24.00,2
Alfie-Whiteman,Goalkeeper,15111,https://www.premierleague.com/players/15111/Alfie-Whiteman/stats?co=1&se=79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Brandon-Austin,Goalkeeper,15114,https://www.premierleague.com/players/15114/Brandon-Austin/stats?co=1&se=79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Paulo-Gazzaniga,Goalkeeper,4600,https://www.premierleague.com/players/4600/Paulo-Gazzaniga/stats?co=1&se=79,3,0,1,2,0,2,3,8,1,0,0,0,0,0,0,0,0,22,22.00,7
